Model,Target,RMSE,MAE,N_Periods
GBM,IEF_Q1,0.050733,0.046171,5
TRANSFORMER,IEF_Q1,0.434543,0.372601,5
GBM,IEF_Q2,0.078315,0.049755,5
TRANSFORMER,IEF_Q2,0.225712,0.177447,5
GBM,IEF_Q3,0.048512,0.03907,5
TRANSFORMER,IEF_Q3,0.108414,0.097366,5
TRANSFORMER,SHY_Q1,0.105399,0.098802,5
GBM,SHY_Q1,0.184627,0.121917,5
TRANSFORMER,SHY_Q2,0.426816,0.303336,4
GBM,SHY_Q2,0.71563,0.396426,4
GBM,SHY_Q3,0.048496,0.040466,5
TRANSFORMER,SHY_Q3,0.244694,0.189913,5
GBM,TLT_Q1,0.025655,0.02054,5
TRANSFORMER,TLT_Q1,0.42188,0.367384,5
GBM,TLT_Q2,0.044222,0.037488,5
TRANSFORMER,TLT_Q2,0.307717,0.262366,5
GBM,TLT_Q3,0.026955,0.022405,5
TRANSFORMER,TLT_Q3,0.356875,0.305645,5
